isNewVisitor,fullReferrerIsSet,mediumIsSet,networkDomainIsSet,networkLocationIsSet,landingPagePathIsSet,sessions,bounceRate,pageviewsPerSession,timeOnPage,source,isSpam
0,1,1,1,1,1,1,0,3,181,google,0
0,1,1,1,1,1,1,0,3,1458,google,0
0,1,1,1,1,1,1,0,3,457,google,0
0,1,1,1,1,1,2,0,2,384,google,0
0,1,1,1,1,1,4,50,7.5,409,google,0
0,1,1,1,1,1,2,50,2,96,google,0
0,1,1,1,1,1,1,0,2,7,google,0
0,1,1,1,1,1,3,66.666664,1.6666666,153,google,0
0,1,1,1,1,1,1,0,5,161,google,0
0,1,1,1,1,1,2,50,2,8,google,0
0,1,1,1,1,1,1,0,2,204,google,0
0,1,1,1,1,1,5,80,1.2,1791,google,0
0,1,1,1,1,1,1,0,4,95,google,0
0,1,1,1,1,1,9,88.888885,1.1111112,31,google,0
0,1,1,1,1,1,1,0,5,7,google,0
0,1,1,1,1,1,6,50,4,170,google,0
0,1,1,1,1,1,5,60,1.4,2484,google,0
0,1,1,1,1,1,1,0,3,2079,google,0
0,1,1,1,1,1,1,0,6,39,google,0
0,1,1,1,1,1,2,0,3.5,527,google,0
0,1,1,1,1,1,1,0,2,4,google,0
0,1,1,1,1,1,1,0,4,154,google,0
0,1,1,1,1,1,1,0,3,316,google,0
0,1,1,1,1,1,1,0,2,97,google,0
0,1,1,1,1,1,1,0,6,589,google,0
0,1,1,1,1,1,1,0,2,45,google,0
0,1,1,1,1,1,2,0,3.5,1996,google,0
0,1,1,1,1,1,1,0,2,155,google,0
0,1,1,1,1,1,1,0,5,1277,google,0
0,1,1,1,1,1,1,0,2,58,google,0
0,1,1,1,1,1,1,0,5,9,google,0
0,1,1,1,1,1,1,0,4,122,google,0
0,1,1,1,1,1,4,75,1.5,659,google,0
0,1,1,1,1,1,2,50,2,64,google,0
0,1,1,1,1,1,1,0,2,34,google,0
0,1,1,1,1,1,1,0,4,269,google,0
0,1,1,1,1,1,4,50,2.25,1412,google,0
0,1,1,1,1,1,1,0,5,759,google,0
0,1,1,1,1,1,1,0,6,312,google,0
0,1,1,1,1,1,1,0,2,183,google,0
0,1,1,1,1,0,1,0,3,41,google,0
0,1,1,1,1,1,1,0,12,1818,google,0
0,1,1,1,1,0,1,0,9,54,google,0
0,1,1,1,1,1,1,0,3,408,google,0
0,1,1,1,1,1,2,50,1.5,648,google,0
0,1,1,1,1,1,1,0,5,129,google,0
0,1,1,1,1,1,1,0,3,6,google,0
0,1,1,1,1,1,1,0,2,44,google,0
0,1,1,1,1,1,1,0,25,92,google,0
0,1,1,1,1,1,1,0,4,107,google,0
0,1,1,1,1,1,1,0,6,74,google,0
0,1,1,1,1,1,1,0,2,8,google,0
0,1,1,1,1,1,1,0,2,262,google,0
0,1,1,1,1,1,1,0,158,1936,google,0
0,1,1,1,1,1,1,0,8,3074,google,0
0,1,1,1,1,1,1,0,2,69,google,0
0,1,1,1,1,1,2,50,1.5,54,google,0
0,1,1,1,1,1,1,0,6,143,google,0
0,1,1,1,1,1,6,66.666664,1.5,35,google,0
0,1,1,1,1,1,3,66.666664,1.3333334,371,google,0
0,1,1,1,1,1,6,66.666664,1.6666666,1892,google,0
0,1,1,1,1,1,1,0,3,1175,google,0
0,1,1,1,1,1,2,50,2,83,google,0
0,1,1,1,1,1,11,90.90909,1.0909091,28,google,0
0,1,1,1,1,1,3,66.666664,2,319,google,0
0,1,1,1,1,1,7,85.71429,1.1428572,4,google,0
0,1,1,1,1,1,1,0,7,134,google,0
0,1,1,1,1,1,1,0,2,149,google,0
0,1,1,1,1,1,8,50,1.625,1029,google,0
0,1,1,1,1,1,1,0,2,43,google,0
0,1,1,1,1,1,4,75,1.25,1658,google,0
0,1,1,1,1,1,1,0,5,64,google,0
0,1,1,1,1,1,4,50,19,704,google,0
0,1,1,1,1,1,3,66.666664,2.3333333,63,google,0
0,1,1,1,1,1,1,0,3,1164,google,0
0,1,1,1,1,1,1,0,2,2,google,0
0,1,1,1,1,1,4,50,2,151,google,0
0,1,1,1,1,1,1,0,2,224,google,0
0,1,1,1,1,1,1,0,3,511,google,0
0,1,1,1,1,1,1,0,2,1,google,0
0,1,1,1,1,1,1,0,2,25,google,0
0,1,1,1,1,1,1,0,3,97,google,0
0,1,1,1,1,1,1,0,2,94,google,0
0,1,1,1,1,1,3,66.666664,1.3333334,1418,google,0
0,1,1,1,1,1,3,66.666664,1.3333334,2,google,0
0,1,1,1,1,1,3,0,3,268,google,0
0,1,1,1,1,1,5,80,1.2,46,google,0
0,1,1,1,1,1,1,0,2,1478,google,0
0,1,1,1,1,1,4,75,2,62,google,0
0,1,1,1,1,1,2,50,1.5,256,google,0
0,1,1,1,1,1,1,0,27,459,google,0
0,1,1,1,1,1,1,0,2,241,google,0
0,1,1,1,1,1,1,0,5,96,google,0
0,1,1,1,1,1,1,0,2,284,google,0
0,1,1,1,1,1,1,0,17,2222,google,0
0,1,1,1,1,1,1,0,6,94,google,0
0,1,1,1,1,1,7,71.42857,26.857143,2179,google,0
0,1,1,1,1,1,1,0,8,1804,google,0
0,1,1,1,1,1,1,0,2,1738,google,0
0,1,1,1,1,1,1,0,4,159,google,0
0,1,1,1,1,1,1,0,3,64,google,0
0,1,1,1,1,1,1,0,2,280,google,0
0,1,1,1,1,1,1,0,3,59,google,0
0,1,1,1,1,1,1,0,2,103,google,0
0,1,1,1,1,1,1,0,2,85,google,0
0,1,1,1,1,1,1,0,16,943,google,0
0,1,1,1,1,1,1,0,27,1196,google,0
0,1,1,1,1,1,1,0,2,15,google,0
0,1,1,1,1,1,2,50,3,1751,google,0
0,1,1,1,1,1,1,0,7,53,google,0
0,1,1,1,1,1,1,0,7,77,google,0
0,1,1,1,1,1,1,0,10,1020,google,0
0,1,1,1,1,1,5,100,1,0,google,0
0,1,1,1,1,1,1,0,5,92,google,0
0,1,1,1,1,1,2,50,1.5,279,google,0
0,1,1,1,1,1,2,50,12,738,google,0
0,1,1,1,1,1,1,0,8,94,google,0
0,1,1,1,1,1,1,0,5,1563,google,0
0,1,1,1,1,1,1,0,4,265,google,0
0,1,1,1,1,1,1,0,2,147,google,0
0,1,1,1,1,1,1,0,8,557,google,0
0,1,1,1,1,1,1,0,9,1694,google,0
0,1,1,1,1,1,3,66.666664,2.6666667,238,google,0
0,1,1,1,1,1,1,0,3,88,google,0
